ticker,side,entry_c,fair_yes_c,edge_pp,btc,strike,dist_pct,settle_yes,won,gross_c,fee_c,net_c
KXBTC15M-26APR241130-30,yes,42,52,10.0,77756.89,77747.86,0.00012,1,1,58.0,3.41,54.59
KXBTC15M-26APR240745-45,yes,42,50,8.0,78329.03,78328.70,0.00000,0,0,-42.0,3.41,-45.41
KXBTC15M-26APR240730-30,no,45,47,8.0,78207.11,78219.07,0.00015,1,0,-45.0,3.47,-48.47
KXBTC15M-26APR240645-45,yes,42,50,8.0,77703.66,77703.36,0.00000,0,0,-42.0,3.41,-45.41
KXBTC15M-26APR240545-45,no,43,47,10.0,77518.78,77531.12,0.00016,1,0,-43.0,3.43,-46.43
KXBTC15M-26APR240230-30,no,43,47,10.0,77934.12,77946.06,0.00015,0,1,57.0,3.43,53.57
KXBTC15M-26APR240130-30,no,42,49,9.0,77588.38,77592.22,0.00005,1,0,-42.0,3.41,-45.41
KXBTC15M-26APR232315-15,no,42,48,10.0,78154.60,78162.17,0.00010,1,0,-42.0,3.41,-45.41
KXBTC15M-26APR232045-45,no,36,49,15.0,78426.72,78430.74,0.00005,0,1,64.0,3.23,60.77
KXBTC15M-26APR232015-15,no,32,44,24.0,78265.13,78278.12,0.00017,1,0,-32.0,3.05,-35.05
KXBTC15M-26APR231945-45,no,34,52,14.0,78165.80,78162.17,0.00005,1,0,-34.0,3.14,-37.14
KXBTC15M-26APR231900-00,no,40,48,12.0,78314.78,78320.32,0.00007,0,1,60.0,3.36,56.64
KXBTC15M-26APR231830-30,yes,40,48,8.0,78088.50,78092.69,0.00005,1,1,60.0,3.36,56.64
KXBTC15M-26APR231030-30,no,36,48,16.0,77513.72,77521.76,0.00010,1,0,-36.0,3.23,-39.23
KXBTC15M-26APR230845-45,no,36,52,12.0,77774.43,77769.72,0.00006,1,0,-36.0,3.23,-39.23
KXBTC15M-26APR230600-00,yes,26,52,26.0,77753.93,77748.43,0.00007,0,0,-26.0,2.69,-28.69
KXBTC15M-26APR230530-30,no,40,49,11.0,77589.69,77591.51,0.00002,1,0,-40.0,3.36,-43.36
KXBTC15M-26APR230115-15,no,44,48,8.0,77948.21,77952.72,0.00006,1,0,-44.0,3.45,-47.45
KXBTC15M-26APR221815-15,no,32,53,15.0,78796.67,78791.08,0.00007,1,0,-32.0,3.05,-35.05
KXBTC15M-26APR221715-15,no,28,51,21.0,78454.67,78451.63,0.00004,1,0,-28.0,2.82,-30.82
KXBTC15M-26APR221215-15,no,40,47,13.0,79319.36,79334.41,0.00019,0,1,60.0,3.36,56.64
KXBTC15M-26APR221015-15,yes,43,52,9.0,78877.88,78864.30,0.00017,1,1,57.0,3.43,53.57
KXBTC15M-26APR220645-45,no,40,52,8.0,78095.10,78089.34,0.00007,1,0,-40.0,3.36,-43.36
KXBTC15M-26APR220600-00,yes,36,45,9.0,78144.75,78159.50,0.00019,0,0,-36.0,3.23,-39.23
KXBTC15M-26APR212200-00,no,43,48,9.0,76258.04,76266.46,0.00011,1,0,-43.0,3.43,-46.43
KXBTC15M-26APR211830-30,yes,29,43,14.0,75570.71,75585.10,0.00019,0,0,-29.0,2.88,-31.88
KXBTC15M-26APR211800-00,no,40,48,12.0,75499.32,75505.48,0.00008,1,0,-40.0,3.36,-43.36
KXBTC15M-26APR211500-00,no,43,49,8.0,75524.34,75529.27,0.00007,1,0,-43.0,3.43,-46.43
KXBTC15M-26APR211445-45,no,36,51,13.0,75450.31,75447.00,0.00004,1,0,-36.0,3.23,-39.23
KXBTC15M-26APR211230-30,yes,42,50,8.0,75945.02,75944.15,0.00001,0,0,-42.0,3.41,-45.41
KXBTC15M-26APR211045-45,no,38,50,12.0,76135.74,76132.44,0.00004,1,0,-38.0,3.30,-41.30
KXBTC15M-26APR210530-30,no,34,49,17.0,76498.35,76508.42,0.00013,0,1,66.0,3.14,62.86
KXBTC15M-26APR210100-00,no,28,53,19.0,75699.43,75692.18,0.00010,1,0,-28.0,2.82,-30.82
KXBTC15M-26APR202330-30,no,38,48,14.0,75596.77,75601.93,0.00007,1,0,-38.0,3.30,-41.30
KXBTC15M-26APR201830-30,no,36,54,10.0,76102.81,76090.28,0.00016,0,1,64.0,3.23,60.77
KXBTC15M-26APR201730-30,no,36,52,12.0,76048.53,76037.41,0.00015,0,1,64.0,3.23,60.77
KXBTC15M-26APR201315-15,no,36,48,16.0,75339.25,75350.85,0.00015,1,0,-36.0,3.23,-39.23
KXBTC15M-26APR201230-30,yes,38,48,10.0,75439.23,75451.85,0.00017,0,0,-38.0,3.30,-41.30
KXBTC15M-26APR200230-30,yes,40,50,10.0,74328.97,74330.54,0.00002,1,1,60.0,3.36,56.64
KXBTC15M-26APR192045-45,yes,36,49,13.0,74267.68,74270.97,0.00004,0,0,-36.0,3.23,-39.23
KXBTC15M-26APR191800-00,no,34,46,20.0,74769.26,74779.72,0.00014,0,1,66.0,3.14,62.86
KXBTC15M-26APR191745-45,no,41,51,8.0,74789.44,74783.72,0.00008,0,1,59.0,3.39,55.61
KXBTC15M-26APR191715-15,no,40,51,9.0,74670.95,74665.57,0.00007,1,0,-40.0,3.36,-43.36
KXBTC15M-26APR191515-15,no,20,46,34.0,74789.58,74803.90,0.00019,1,0,-20.0,2.24,-22.24
KXBTC15M-26APR191045-45,yes,34,45,11.0,75987.13,76001.65,0.00019,1,1,66.0,3.14,62.86
KXBTC15M-26APR190645-45,no,46,46,8.0,75110.17,75121.60,0.00015,1,0,-46.0,3.48,-49.48
KXBTC15M-26APR190515-15,no,36,51,13.0,75274.42,75273.90,0.00001,0,1,64.0,3.23,60.77
KXBTC15M-26APR190345-45,no,36,50,14.0,75034.11,75034.56,0.00001,1,0,-36.0,3.23,-39.23
KXBTC15M-26APR190300-00,yes,40,55,15.0,75476.74,75464.44,0.00016,0,0,-40.0,3.36,-43.36
KXBTC15M-26APR190115-15,no,46,46,8.0,75689.29,75701.86,0.00017,0,1,54.0,3.48,50.52
KXBTC15M-26APR182300-00,no,38,46,16.0,75677.22,75688.75,0.00015,0,1,62.0,3.30,58.70
KXBTC15M-26APR182245-45,yes,42,50,8.0,75516.85,75515.78,0.00001,1,1,58.0,3.41,54.59
KXBTC15M-26APR182230-30,no,34,50,16.0,75649.99,75649.54,0.00001,0,1,66.0,3.14,62.86
KXBTC15M-26APR181900-00,no,40,48,12.0,75804.09,75808.16,0.00005,1,0,-40.0,3.36,-43.36
KXBTC15M-26APR181845-45,no,38,43,19.0,75731.91,75746.44,0.00019,1,0,-38.0,3.30,-41.30
KXBTC15M-26APR181630-30,no,44,46,10.0,75717.60,75725.24,0.00010,1,0,-44.0,3.45,-47.45
KXBTC15M-26APR181530-30,no,40,48,12.0,75771.00,75779.53,0.00011,0,1,60.0,3.36,56.64
KXBTC15M-26APR181130-30,no,40,51,9.0,76225.41,76223.47,0.00003,1,0,-40.0,3.36,-43.36
KXBTC15M-26APR181015-15,no,38,51,11.0,76163.20,76158.73,0.00006,1,0,-38.0,3.30,-41.30
KXBTC15M-26APR180745-45,no,41,47,12.0,76082.20,76091.80,0.00013,0,1,59.0,3.39,55.61
